Step,Action,Reasoning,Observation,Reward,Done
0,look,,"-= Basement =-
You've entered a basement.



There is a closed passageway leading south. There is an unblocked exit to the east. You don't like doors? Why not try going north, that entranceway is unguarded.",0,False
1,go north,,"-= Laundromat =-
You find yourself in a laundromat. An usual one.

What's that over there? It looks like it's a drawer. Hmm. You always thought you'd be more excited to see a drawer in a room. What a letdown! The drawer is empty! You lean against the wall, inadvertently pressing a secret button. The wall opens up to reveal a shelf. But there isn't a thing on it.

There is an unblocked exit to the east. You don't like doors? Why not try going south, that entranceway is unguarded.

There is a key on the floor.",0,False
2,take key,,You pick up the key from the ground.,0,False
3,go east,,"-= Cookhouse =-
Of every cookhouse you could have shown up in, you had to walk into a normal one.



There is an exit to the south. Don't worry, it is unguarded. You don't like doors? Why not try going west, that entranceway is unguarded.",0,False
4,go west,,"-= Laundromat =-
You find yourself in a laundromat. An usual one.

What's that over there? It looks like it's a drawer. Hmm. You always thought you'd be more excited to see a drawer in a room. What a letdown! The drawer is empty! You lean against the wall, inadvertently pressing a secret button. The wall opens up to reveal a shelf. But there isn't a thing on it.

There is an unblocked exit to the east. You don't like doors? Why not try going south, that entranceway is unguarded.",0,False
5,unlock ... with ...,,You can't see any such thing.,0,False
6,go south,,"-= Basement =-
You've entered a basement.



There is a closed passageway leading south. There is an unblocked exit to the east. You don't like doors? Why not try going north, that entranceway is unguarded.",0,False
7,open passageway,,You have to unlock the passageway with the key first.,0,False
8,unlock passageway with key,,You unlock passageway.,0,False
9,open passageway,,You open passageway.,0,False
10,go south,,"-= Vault =-
A well framed placard tells you that you are now in the vault. Let's see what's in here.



There is an open passageway leading north. There is an open hatch leading east. There is an open portal leading south.",0,False
11,go east,,"-= Lounge =-
You arrive in a lounge. An ordinary one.



There is an open door leading south. There is an open hatch leading west. You don't like doors? Why not try going east, that entranceway is unblocked.

There is a Henderson's limited edition key on the floor.",0,False
12,take Henderson's limited edition key,,You pick up the Henderson's limited edition key from the ground.,0,False
13,go east,,"-= Canteen =-
Look around you. Take it all in. It's not every day someone gets to be in a canteen.

You can see a plate. But there isn't a thing on it. Oh! Why couldn't there just be stuff on it?

There is an unblocked exit to the west.",0,False
14,go west,,"-= Lounge =-
You arrive in a lounge. An ordinary one.



There is an open door leading south. There is an open hatch leading west. You don't like doors? Why not try going east, that entranceway is unblocked.",0,False
15,open safe,,You can't see any such thing.,0,False
16,go east,,"-= Canteen =-
Look around you. Take it all in. It's not every day someone gets to be in a canteen.

You can see a plate. But there isn't a thing on it. Oh! Why couldn't there just be stuff on it?

There is an unblocked exit to the west.",0,False
17,unlock safe with Henderson's limited edition key,,You can't see any such thing.,0,False
18,take plate,,That's fixed in place.,0,False
19,inventory,,You are carrying: a Henderson's limited edition key and a key.,0,False
20,unlock ... with ...,,You can't see any such thing.,0,False
21,go west,,"-= Lounge =-
You arrive in a lounge. An ordinary one.



There is an open door leading south. There is an open hatch leading west. You don't like doors? Why not try going east, that entranceway is unblocked.",0,False
22,unlock passageway with Henderson's limited edition key,,You can't see any such thing.,0,False
23,go east,,"-= Canteen =-
Look around you. Take it all in. It's not every day someone gets to be in a canteen.

You can see a plate. But there isn't a thing on it. Oh! Why couldn't there just be stuff on it?

There is an unblocked exit to the west.",0,False
24,unlock passageway with key,,You can't see any such thing.,0,False
25,open safe,,You can't see any such thing.,0,False
26,go west,,"-= Lounge =-
You arrive in a lounge. An ordinary one.



There is an open door leading south. There is an open hatch leading west. You don't like doors? Why not try going east, that entranceway is unblocked.",0,False
27,go east,,"-= Canteen =-
Look around you. Take it all in. It's not every day someone gets to be in a canteen.

You can see a plate. But there isn't a thing on it. Oh! Why couldn't there just be stuff on it?

There is an unblocked exit to the west.",0,False
28,drop key,,"(the key)
You drop the key on the ground.",0,False
29,take key,,"(the key)
You pick up the key from the ground.",0,False
30,open safe,,You can't see any such thing.,0,False
31,go west,,"-= Lounge =-
You arrive in a lounge. An ordinary one.



There is an open door leading south. There is an open hatch leading west. You don't like doors? Why not try going east, that entranceway is unblocked.",0,False
32,unlock safe with key,,You can't see any such thing.,0,False
33,go south,,"-= Office =-
You find yourself in an office. A standard kind of place. You begin to take stock of what's here.



There is a closed Henderson's limited edition passageway leading west. There is an open door leading north. There is an exit to the east. Don't worry, it is unblocked.",0,False
34,unlock Henderson's limited edition passageway with Henderson's limited edition key,,You unlock Henderson's limited edition passageway.,0,False
35,open Henderson's limited edition passageway,,You open Henderson's limited edition passageway.,0,False
36,inventory,,You are carrying: a key and a Henderson's limited edition key.,0,False
37,go east,,"-= Attic =-
Fancy seeing you here. Here, by the way, being the attic. I guess you better just go and list everything you see here.



You need an unguarded exit? You should try going west.

There is a passkey on the floor.",0,False
38,take passkey,,"You pick up the passkey from the ground.



                              *** You lost! ***

You scored 0 out of a possible 1, in 30 turns.


Would you like to RESTART, RESTORE a saved game, QUIT or UNDO the last command?
>",0,True
