Step,Action,Reasoning,Observation,Reward,Done
0,14,,"
node: 0, neighbors: [13]
node: 6, neighbors: [7, 9, 14]
node: 7, neighbors: [6]
node: 8, neighbors: [19]
node: 9, neighbors: [6]
node: 10, neighbors: [15]
node: 11, neighbors: [13]
node: 13, neighbors: [0, 11, 14]
node: 14, neighbors: [6, 13, 15, 19]
node: 15, neighbors: [10, 14]
node: 19, neighbors: [8, 14]

current node: 14, target node: 16",0,False
1,10,,"
node: 0, neighbors: [13]
node: 6, neighbors: [7, 9, 14]
node: 7, neighbors: [6]
node: 8, neighbors: [19]
node: 9, neighbors: [6]
node: 10, neighbors: [15]
node: 11, neighbors: [13]
node: 13, neighbors: [0, 11, 14]
node: 14, neighbors: [6, 13, 15, 19]
node: 15, neighbors: [10, 14]
node: 19, neighbors: [8, 14]

current node: 14, target node: 16",-6.0,False
2,10,,"
node: 0, neighbors: [13]
node: 6, neighbors: [7, 9, 14]
node: 7, neighbors: [6]
node: 8, neighbors: [19]
node: 9, neighbors: [6]
node: 10, neighbors: [15]
node: 11, neighbors: [13]
node: 13, neighbors: [0, 11, 14]
node: 14, neighbors: [6, 13, 15, 19]
node: 15, neighbors: [10, 14]
node: 19, neighbors: [8, 14]

current node: 14, target node: 16",-6.0,False
3,15,,"
node: 6, neighbors: [14]
node: 10, neighbors: [15]
node: 13, neighbors: [14]
node: 14, neighbors: [6, 13, 15, 19]
node: 15, neighbors: [10, 14]
node: 19, neighbors: [14]

current node: 15, target node: 16",0,False
4,4,,"
node: 6, neighbors: [14]
node: 10, neighbors: [15]
node: 13, neighbors: [14]
node: 14, neighbors: [6, 13, 15, 19]
node: 15, neighbors: [10, 14]
node: 19, neighbors: [14]

current node: 15, target node: 16",-6.0,False
5,10,,"
node: 10, neighbors: [15]
node: 14, neighbors: [15]
node: 15, neighbors: [10, 14]

current node: 10, target node: 16",-5,False
6,13,,"
node: 10, neighbors: [15]
node: 14, neighbors: [15]
node: 15, neighbors: [10, 14]

current node: 10, target node: 16",-6.0,False
7,11,,"
node: 10, neighbors: [15]
node: 14, neighbors: [15]
node: 15, neighbors: [10, 14]

current node: 10, target node: 16",-6.0,False
8,15,,"
node: 6, neighbors: [14]
node: 10, neighbors: [15]
node: 13, neighbors: [14]
node: 14, neighbors: [6, 13, 15, 19]
node: 15, neighbors: [10, 14]
node: 19, neighbors: [14]

current node: 15, target node: 16",0,False
9,14,,"
node: 0, neighbors: [13]
node: 6, neighbors: [7, 9, 14]
node: 7, neighbors: [6]
node: 8, neighbors: [19]
node: 9, neighbors: [6]
node: 10, neighbors: [15]
node: 11, neighbors: [13]
node: 13, neighbors: [0, 11, 14]
node: 14, neighbors: [6, 13, 15, 19]
node: 15, neighbors: [10, 14]
node: 19, neighbors: [8, 14]

current node: 14, target node: 16",0,False
10,0,,"
node: 0, neighbors: [13]
node: 6, neighbors: [7, 9, 14]
node: 7, neighbors: [6]
node: 8, neighbors: [19]
node: 9, neighbors: [6]
node: 10, neighbors: [15]
node: 11, neighbors: [13]
node: 13, neighbors: [0, 11, 14]
node: 14, neighbors: [6, 13, 15, 19]
node: 15, neighbors: [10, 14]
node: 19, neighbors: [8, 14]

current node: 14, target node: 16",-6.0,False
11,11,,"
node: 0, neighbors: [13]
node: 6, neighbors: [7, 9, 14]
node: 7, neighbors: [6]
node: 8, neighbors: [19]
node: 9, neighbors: [6]
node: 10, neighbors: [15]
node: 11, neighbors: [13]
node: 13, neighbors: [0, 11, 14]
node: 14, neighbors: [6, 13, 15, 19]
node: 15, neighbors: [10, 14]
node: 19, neighbors: [8, 14]

current node: 14, target node: 16",-6.0,False
12,13,,"
node: 0, neighbors: [13, 18]
node: 4, neighbors: [11]
node: 6, neighbors: [14]
node: 11, neighbors: [4, 13]
node: 13, neighbors: [0, 11, 14]
node: 14, neighbors: [6, 13, 15, 19]
node: 15, neighbors: [14]
node: 18, neighbors: [0]
node: 19, neighbors: [14]

current node: 13, target node: 16",-5,False
13,11,,"
node: 0, neighbors: [13]
node: 4, neighbors: [11, 12]
node: 11, neighbors: [4, 13]
node: 12, neighbors: [4]
node: 13, neighbors: [0, 11, 14]
node: 14, neighbors: [13]

current node: 11, target node: 16",0,False
14,4,,"
node: 4, neighbors: [11, 12]
node: 11, neighbors: [4, 13]
node: 12, neighbors: [4]
node: 13, neighbors: [11]

current node: 4, target node: 16",0,False
15,12,,"
node: 4, neighbors: [11, 12]
node: 11, neighbors: [4]
node: 12, neighbors: [4]

current node: 12, target node: 16",-5,False
16,11,,"
node: 4, neighbors: [11, 12]
node: 11, neighbors: [4]
node: 12, neighbors: [4]

current node: 12, target node: 16",-6.0,False
17,12,,"
node: 4, neighbors: [11, 12]
node: 11, neighbors: [4]
node: 12, neighbors: [4]

current node: 12, target node: 16",-6.0,False
18,11,,"
node: 4, neighbors: [11, 12]
node: 11, neighbors: [4]
node: 12, neighbors: [4]

current node: 12, target node: 16",-6.0,False
19,12,,"
node: 4, neighbors: [11, 12]
node: 11, neighbors: [4]
node: 12, neighbors: [4]

current node: 12, target node: 16",-6.0,False
20,11,,"
node: 4, neighbors: [11, 12]
node: 11, neighbors: [4]
node: 12, neighbors: [4]

current node: 12, target node: 16",-6.0,False
21,4,,"
node: 4, neighbors: [11, 12]
node: 11, neighbors: [4, 13]
node: 12, neighbors: [4]
node: 13, neighbors: [11]

current node: 4, target node: 16",0,False
22,11,,"
node: 0, neighbors: [13]
node: 4, neighbors: [11, 12]
node: 11, neighbors: [4, 13]
node: 12, neighbors: [4]
node: 13, neighbors: [0, 11, 14]
node: 14, neighbors: [13]

current node: 11, target node: 16",0,False
23,4,,"
node: 4, neighbors: [11, 12]
node: 11, neighbors: [4, 13]
node: 12, neighbors: [4]
node: 13, neighbors: [11]

current node: 4, target node: 16",-5,False
24,12,,"
node: 4, neighbors: [11, 12]
node: 11, neighbors: [4]
node: 12, neighbors: [4]

current node: 12, target node: 16",-5,False
25,11,,"
node: 4, neighbors: [11, 12]
node: 11, neighbors: [4]
node: 12, neighbors: [4]

current node: 12, target node: 16",-6.0,False
26,11,,"
node: 4, neighbors: [11, 12]
node: 11, neighbors: [4]
node: 12, neighbors: [4]

current node: 12, target node: 16",-6.0,False
27,4,,"
node: 4, neighbors: [11, 12]
node: 11, neighbors: [4, 13]
node: 12, neighbors: [4]
node: 13, neighbors: [11]

current node: 4, target node: 16",0,False
28,12,,"
node: 4, neighbors: [11, 12]
node: 11, neighbors: [4]
node: 12, neighbors: [4]

current node: 12, target node: 16",-5,False
29,14,,"
node: 4, neighbors: [11, 12]
node: 11, neighbors: [4]
node: 12, neighbors: [4]

current node: 12, target node: 16",-6.0,True
