Step,Action,Reasoning,Observation,Reward,Done
0,Move North,,"You see:
- water 6 steps to your north-east
- grass 1 steps to your west
- sand 7 steps to your north-west
- tree 5 steps to your north-west

You face grass at your front.",0.0,False
1,Move North,,"You see:
- water 5 steps to your north-east
- grass 1 steps to your west
- sand 5 steps to your north-east
- tree 4 steps to your north-west

You face grass at your front.",0.0,False
2,Move North,,"You see:
- water 4 steps to your north-east
- grass 1 steps to your west
- sand 4 steps to your north-east
- tree 3 steps to your west

You face grass at your front.",0.0,False
3,Move North,,"You see:
- water 3 steps to your north
- grass 1 steps to your west
- sand 3 steps to your north-east
- tree 2 steps to your north

You face grass at your front.",0.0,False
4,Do,,"You see:
- water 3 steps to your north
- grass 1 steps to your west
- sand 3 steps to your north-east
- tree 2 steps to your north

You face grass at your front.",0.0,False
5,Make Wood Pickaxe,,"You see:
- water 3 steps to your north
- grass 1 steps to your west
- sand 3 steps to your north-east
- tree 2 steps to your north

You face grass at your front.",0.0,False
6,Move North,,"You see:
- water 2 steps to your north
- grass 1 steps to your west
- sand 2 steps to your east
- tree 1 steps to your north

You face tree at your front.",0.0,False
7,Do,,"You see:
- water 2 steps to your north
- grass 1 steps to your west
- sand 2 steps to your east
- tree 2 steps to your north-west

You face grass at your front.",1.0,False
8,Move North,,"You see:
- water 1 steps to your north
- grass 1 steps to your south
- stone 7 steps to your north-east
- sand 3 steps to your south-east
- tree 1 steps to your west

You face water at your front.",0.0,False
9,Make Wood Pickaxe,,"You see:
- water 1 steps to your north
- grass 1 steps to your south
- stone 7 steps to your north-east
- sand 3 steps to your south-east
- tree 1 steps to your west

You face water at your front.",0.0,False
10,Move North,,"You see:
- water 1 steps to your north
- grass 1 steps to your south
- stone 7 steps to your north-east
- sand 3 steps to your south-east
- tree 1 steps to your west

You face water at your front.",0.0,False
11,Make Wood Sword,,"You see:
- water 1 steps to your north
- grass 1 steps to your south
- stone 7 steps to your north-east
- sand 3 steps to your south-east
- tree 1 steps to your west

You face water at your front.",0.0,False
12,Do,,"You see:
- water 1 steps to your north
- grass 1 steps to your south
- stone 7 steps to your north-east
- sand 3 steps to your south-east
- tree 1 steps to your west

You face water at your front.",1.0,False
13,Make Wood Sword,,"You see:
- water 1 steps to your north
- grass 1 steps to your south
- stone 7 steps to your north-east
- sand 3 steps to your south-east
- tree 1 steps to your west

You face water at your front.",0.0,False
14,Move South,,"You see:
- water 2 steps to your north
- grass 1 steps to your west
- sand 2 steps to your east
- tree 2 steps to your north-west

You face grass at your front.",0.0,False
15,Do,,"You see:
- water 2 steps to your north
- grass 1 steps to your west
- sand 2 steps to your east
- tree 2 steps to your north-west

You face grass at your front.",0.0,False
